,ubicacion,latitud,longitud
0,"San Cristóbal, Madrid",40.3433537,-3.6878175
1,"Los Ángeles, Madrid",40.3562217,-3.6996388
2,"San Andrés, Madrid",40.3455389,-3.7109697
3,"Los Rosales, Madrid",40.3571948,-3.6894484
4,"Villaverde, Madrid",40.3456104,-3.6959556
5,"Vicálvaro, Madrid",40.3965841,-3.5766216
6,"Ambroz, Madrid",40.4147946,-3.60034
7,"El Cañaveral - Los Berrocales, Madrid",40.3928801,-3.5697562
8,"Valdebernardo - Valderribas, Madrid",40.3979623,-3.6048451
9,"Casco Histórico de Vallecas, Madrid",40.3773477,-3.6217118
10,"Ensanche de Vallecas - La Gavia, Madrid",40.3709866,-3.6132187
11,"Usera, Madrid",40.383894,-3.7064459
12,"Zofío, Madrid",40.379209,-3.7152846
13,"Almendrales, Madrid",40.3843762,-3.6992931
14,"Moscardó, Madrid",40.3890429,-3.7057718
15,"Valdeacederas, Madrid",40.4679108,-3.7034226
16,"Tetuán, Madrid",40.4605781,-3.6982806
17,"Berruguete, Madrid",40.4602706,-3.7043452
18,"Cuzco-Castillejos, Madrid",40.4594841,-3.6900166
19,"Bellas Vistas, Madrid",40.4526848,-3.7072396
20,"Retiro, Madrid",40.4111495,-3.6760566
21,"Puente de Vallecas, Madrid",40.3868601,-3.6591803
22,"San Diego, Madrid",40.3922796,-3.6674239
23,"Numancia, Madrid",40.3995283,-3.6596765
24,"Portazgo, Madrid",40.3914367,-3.6481261
25,"Argüelles, Madrid",40.4307266,-3.7161715
26,"Valdezarza, Madrid",40.4649542,-3.717074
27,"Fontarrón, Madrid",40.399161,-3.6462064
28,"Vinateros, Madrid",40.4051965,-3.6415467
29,"Marroquina, Madrid",40.4107193,-3.6405684
30,"Puerta del Ángel, Madrid",40.4093544,-3.7337422
31,"Latina, Madrid",40.4035317,-3.736152
32,"Aluche, Madrid",40.392356,-3.7571096
33,"Águilas, Madrid",40.3821128,-3.7723671
34,"Lucero, Madrid",40.4021568,-3.7511015
35,"Campamento, Madrid",40.3871058,-3.8026215
36,"Casa de Campo, Madrid",40.4241907,-3.755858019564672
37,"Fuencarral, Madrid",40.4262741,-3.7009067
38,"Peñagrande, Madrid",40.4789641,-3.7258417
39,"Pilar, Madrid",40.4770471,-3.7035391
40,"Pinar del Rey, Madrid",40.4724696,-3.6489613
41,"Canillas, Madrid",40.4618893,-3.6433517
42,"Chamberí, Madrid",40.4389621,-3.705302
43,"Almagro, Madrid",40.4336632,-3.6942857
44,"Trafalgar, Madrid",40.4330613,-3.7010182
45,"Gaztambide, Madrid",40.4349358,-3.7147092
46,"Ventas, Madrid",40.4310642,-3.6635419
47,"Pueblo Nuevo, Madrid",40.4350329,-3.644171
48,"Quintana, Madrid",40.4356576,-3.6471022
49,"Ciudad Lineal, Madrid",40.4484305,-3.650495
50,"Costillares, Madrid",40.4760473,-3.6685122
51,"Concepción, Madrid",40.4382057,-3.6495784
52,"Colina, Madrid",40.4580463,-3.6602556
53,"San Pascual, Madrid",40.4426834,-3.6534541
54,"Chamartín, Madrid",40.4589872,-3.6761288
55,"Nueva España, Madrid",40.4625939,-3.6787346
56,"Lavapiés-Embajadores, Madrid",40.4085263,-3.7009288
57,"Opañel, Madrid",40.3903949,-3.7221926
58,"Comillas, Madrid",40.3937574,-3.7116516
59,"San Isidro, Madrid",40.3970503,-3.7293542
60,"Carabanchel, Madrid",40.3742112,-3.744676
61,"Puerta Bonita, Madrid",40.3813279,-3.7397504
62,"Vista Alegre, Madrid",40.3877922,-3.7396538
63,"Buena Vista, Madrid",40.3682912,-3.7439776
64,"Huertas-Cortes, Madrid",40.4138232,-3.6999266
65,"Malasaña-Universidad, Madrid",40.4267079,-3.7042311
66,"Palacio, Madrid",40.4153295,-3.7147092
67,"Sol, Madrid",40.4178272,-3.702222089915074
68,"Guindalera, Madrid",40.436356,-3.6680189
69,"Lista, Madrid",40.4326938,-3.6745087
70,"Castellana, Madrid",40.4333241,-3.6841316
71,"Acacias, Madrid",40.4040749,-3.7059572
72,"Delicias, Madrid",40.3967843,-3.6900384
73,"Palos de Moguer, Madrid",40.40363845,-3.695287394812124
74,"Legazpi, Madrid",40.3914432,-3.6949558
75,"Butarque, Madrid",40.3364041,-3.6742402
76,"Casco Histórico de Vicálvaro, Madrid",40.4052863,-3.6072004
77,"Villa de Vallecas, Madrid",40.3739576,-3.6121632
78,"San Fermín, Madrid",40.3711037,-3.6901759
79,"Pradolongo, Madrid",40.376647,-3.7077784
80,"12 de Octubre-Orcasur, Madrid",40.37546,-3.6959057
81,"Adelfas, Madrid",40.4019026,-3.6709579
82,"Ibiza, Madrid",40.4189526,-3.6737251
83,"Pacífico, Madrid",40.4013961,-3.6748832
84,"Palomeras Bajas, Madrid",40.3853367,-3.6579829
85,"Palomeras sureste, Madrid",40.3861742,-3.6329556
86,"Entrevías, Madrid",40.3790449,-3.6717573
87,"Aravaca, Madrid",40.457749,-3.7827941
88,"Moncloa, Madrid",40.4350196,-3.719236
89,"Ciudad Universitaria, Madrid",40.443792,-3.726423
90,"Moratalaz, Madrid",40.4059332,-3.6448737
91,"Pavones, Madrid",40.3996221,-3.6317093
92,"Los Cármenes, Madrid",40.3958933,-3.7437976
93,"Tres Olivos - Valverde, Madrid",40.50095125,-3.69462735625
94,"Conde Orgaz-Piovera, Madrid",40.4525621,-3.633062200893884
95,"Hortaleza, Madrid",40.4725491,-3.6425515
96,"Apóstol Santiago, Madrid",40.4764884,-3.6594029
97,"Nuevos Ministerios-Ríos Rosas, Madrid",40.4458416,-3.6916991
98,"Arapiles, Madrid",40.4347638,-3.7083155
99,"San Juan Bautista, Madrid",40.4506953,-3.6563079
100,"Bernabéu-Hispanoamérica, Madrid",40.4530225,-3.6874056737588647
101,"Prosperidad, Madrid",40.443946,-3.6701659
102,"Castilla, Madrid",40.4763551,-3.6800358
103,"Abrantes, Madrid",40.3813279,-3.7274551
104,"Chueca-Justicia, Madrid",40.4253562,-3.6981904
105,"Centro, Madrid",40.417652700000005,-3.70795469569446
106,"Barrio de Salamanca, Madrid",40.43643785,-3.685702784896393
107,"Goya, Madrid",40.4246991,-3.6762001
108,"Imperial, Madrid",40.4057995,-3.7186854
109,"Arganzuela, Madrid",40.40021,-3.69618
110,"Cuatro Caminos, Madrid",40.4467812,-3.7039643
111,"Ventilla-Almenara, Madrid",40.4698213,-3.696293
112,"Sanchinarro, Madrid",40.4931887,-3.6564023
113,"El Viso, Madrid",40.4448882,-3.6847127
114,"Ciudad Jardín, Madrid",40.4487115,-3.6738706
115,"Chopera, Madrid",40.3950981,-3.6994819
116,"La Paz, Madrid",40.4812105,-3.6966318
117,"Recoletos, Madrid",40.4243637,-3.6857429
118,"Casco Histórico de Barajas, Madrid",40.47400498700304,-3.578866262545432
119,"Timón, Madrid",40.3863375,-3.7069729
120,"Montecarmelo, Madrid",40.5053359,-3.6959917
121,"El Pardo, Madrid",40.5205538,-3.7780738
122,"Pau de Carabanchel, Madrid",40.3693742,-3.7626949
123,"Santa Eugenia, Madrid",40.3829244,-3.6117674
124,"Orcasitas, Madrid",40.3691419,-3.7098741
125,"Estrella, Madrid",40.4117618,-3.6669977
126,"Las Tablas, Madrid",40.5083428,-3.6694346
127,"Mirasierra, Madrid",40.4906361,-3.7161379
128,"Arroyo del Fresno, Madrid",40.4895829,-3.7303010983004263
129,"Palomas, Madrid",40.4522376,-3.6141158
130,"Valdebebas - Valdefuentes, Madrid",40.4859876,-3.6138643
131,"Fuente del Berro, Madrid",40.424977,-3.6636998
132,"Media Legua, Madrid",40.4119951,-3.6575338
133,"Valdemarín, Madrid",40.46694,-3.787154949669601
134,"Virgen del Cortijo - Manoteras, Madrid",40.4872436,-3.661223
135,"Cuatro Vientos, Madrid",40.3778953,-3.7919717
136,"Vallehermoso, Madrid",40.4431893,-3.7108233
137,"Jerónimos, Madrid",40.4131439,-3.6842184
138,"Atalaya, Madrid",40.464389,-3.6651106
139,"Niño Jesús, Madrid",40.4110941,-3.6737205
140,"Fuentelarreina, Madrid",40.4774958,-3.7426018
141,"Alameda de Osuna, Madrid",40.4575814,-3.5879745
142,"Barajas, Madrid",40.4733176,-3.5798446
143,"Horcajo, Madrid",40.4081864,-3.6267762
144,"Campo de las Naciones-Corralejos, Madrid",40.153387,-3.7055827
145,"El Plantío, Madrid",40.468442,-3.817695979687869
